,0,1
0,2,Naturally she had to test the dog beds out before we picked one for the pups.
1,2,This piece of art I call  The Sitting She . (Working title)
2,2,She s a tad adventurous and stubborn and cute and strong and fun! I think we ll keep her! 
3,2,"My two Valentine s!!! I am smitten . . . I am in deep smit! Chalk this up to another FANTASTIC Valentine s day! Spent time together just jammin out to music, watching a movie, eatin food, doin a little work, just doin the things we do best, bein together!  Living our best life  (as the kids say) together mostly means we re enjoying each other s company so much that we forget to take pictures and document fun times, but we did happen to snag a few pictures of our Valentine s snow trip earlier this week! I love you @bekhanley and little Tru. You both are the most!"
4,2,I just want to say thanks to the fantastic friends who wished me Happy Birthday! I love you all! I am blessed beyond measure! And thanks to Rebekah for making my birthday fun and fresh! Love you Beky! You re my best. Friend! ??
5,2,"to when I kinda looked like Tom DeLonge from old blink-182, Unofficial: Boxcar Racer, Angels and Airwaves , etc. Also my fierce #Samurai skills (bathrobe sold separately), my future mug shot, and some #braids going on. Kinda missing it."
6,2,I love this little human!
7,2,FOR THE LADIES: This is Beky. She s amazing at what she does. Truly an artist! Why get your brows done by her? To save time on the routine and have perfect brows like all the time. Brows By Beky Microblading is where functional meets flawless. Contact her for a free consultation.
8,2,It was a good win last night for us! Excited for some free Krispy Kreme  s today for the shut-out (5-zip). Had my  ride or die  chick by my side the whole night! ?? Love you 
9,2,Devastating! 
10,2,"Paradise, CA. This is my cousin and his family. Say some prayers for those who are not so fortunate right now."
11,2,Mommy wow! I m a big kid now. 
12,2,Little Minnie Mouse. She had fun ... for about 30 minutes. Not bad for an almost-3 yr. old. @bekhanley did a great job with her costume! Halloween rocks! 
13,2,"My little minion at the  Trunk or Treat  last night. We missed Mom-mom in Colorado. Luckily she ll be back today. Tru went down the big slide and got a ton of candy. #halloweenrocks #happyhalloween #truluna @ Las Vegas, Nevada"
14,2,My thoughts exactly!
15,2,"Please share! You could change these lives forever. They are my great friends, and will be truly the best parents!"
16,2,"I tried to get my new (702) phone number out to everyone. If you need it though, send me a direct message. And sorry to those a part of group text messages I sent. I hate those, but I couldn t find a good way to let people know individually. 
Hope you have a great day! ??????"
17,2,"Beky shared this and I thought it pretty much embodied who we are as a couple, as a team, and as lovebirds. She and I love to do everything together and pretty much never be apart. A lot of people think we re crazy, and they are probably right, but all I know is I am lucky to have a best friend like her where I WANT to do everything with her every day. She s always got my back, always lifts me up, and is truthfully my inspiration in music, in goals, in life! I didn t post anything yesterday because we were having too much fun to waste time posting. Haha I love her forever! Happy 8 years Rebekah! Now enjoy her voice and this song. ????"
18,2,"My songs are my journal entries, so this is just one of those meaningful chapters in my life that I m sharing with you. I appreciate every good and bad, and great and terrible experience that made me who I am. In my life, it s never win or lose, it s just win or learn. Be grateful that you have the ability to  love and be loved in return!  Love you guys! Thanks for listening!"
19,2,"My great friends run these Las Vegas locations of Jimmy John s and are looking to fill management positions. If you have management experience or Jimmy John s experience, or just a great attitude and the will to learn, let me know and I ll set up an interview for you."
20,3,#teamstewvlogs is creating playlists of some of our favorite adventure vlog ideas and challenges.
21,3,You ve heard of Dude Perfect. Well is is Dad Perfect.
22,3,I want to redo this with Dry Ice on a long board and see if I can surf down
23,3,I think I won this round.
24,3,This was silly but a fun one. We played crack the egg on the tramp with a real egg. Tel lost.
25,3,Yes... we did this.
26,3,Yes... we did this.
27,3,"Tel got showered in mustard. Crushing Crunchy & Soft Things by Car! - Lego, Squishy, Takis and More!"
28,3,Happy Birthday Grandma
29,3,This was interesting. Watch the whole thing on our #teamstew YouTube channel
30,3,Woohoo another video is up!
31,3,Woohoo another video is up!
32,3,This was really fun. I want to do this again!
33,3,The kids programmed the robot to play jingle bells. Come check out our fundraiser at Barnes & Noble in St. George.
34,3,"3 And not only so, but we glory in tribulations also: knowing that tribulation worketh patience;

4 And patience, experience; and experience, hope:

5 And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us."
35,3,"To the proud, the applause of the world rings in their ears; to the humble, the applause of heaven warms their hearts. "
36,3,"42 Behold, he who has repented of his sins, the same is forgiven, and I, the Lord, remember them no more."
37,3,"in fact, in a resurrected, otherwise perfected body, our Lord of this sacrament table has chosen to retain for the benefit of his disciples the wounds in his hands and his feet and his side--signs, if you will, that painful things happen even to the pure and perfect. Signs, if you will, that pain in this world is not evidence that God doesn t love you. It is the wounded Christ who is the captain of our soul--he who yet bears the scars of sacrifice, the lesions of love and humility and forgiveness."
38,3,"We could remember that Jesus found special joy and happiness in children and said all of us should be more like them--guileless and pure, quick to laugh and to love and to forgive, slow to remember any offense."
39,3,"It is I will resolve that the leadership of my family will be my most important and sacred responsibility; and I will not leave the teaching and governance of my family to society, to the school, or to the Church."
40,3,Okay so it didn't air today... but we are told sometime this week! I'm excited!
41,4,10/10 - would highly recommend Wedding Swig as well as being married to this girl
42,4,"Why are there no knock knock jokes about America? Because freedom rings.

Happy 4th of July everyone!"
43,4,I've decided to fight social norms. Along with shaving my beard in protest of no shave november I will also no longer be wearing a bra to support my hippie girlfriend.
44,4,"Attention Friends: Katie and I are having the 1st annual BOSScathlon, a 6 event test of skill in order to determine who is the boss in our relationship. We need your help to suggest a final event. We also need two special guest judges to help determine the winner. Any volunteers? Ready go!"
45,4,I got to see my old friend Ashley Louise Johnson today! Makes me miss all the good times with my Provo buddies.
46,4,Hey Guys! So the team and I just came up with some new potential product ideas. Take this quick survey and lets us know what you think of them!
47,4,So much Star Wars .............
48,4,Painting the street!
49,4,Curse you pants! You have failed me for the last time!
50,4,Amanda wright is my favorite!!!
51,4,lost my phone amid the intensity of the mancathalon. so facebook me if you need to get ahold of me.
52,4,AMERICA!!
53,4,Amanda Wright is my favorite person!:)
54,4,Chilling in St.George and watching zombie movies with my brothers. Life is good
55,4,Thanks to everyone for all the birthday wishes. You guys are the best!
56,4,Needs a good scary movie for tonight. Any suggestions?
57,4,Is the truth.
58,4,My name is Austin and I am hot
59,4,Should I watch the first season of heroes or the second season of 24?
60,4,My facebook just got hijacked. :(
61,4,Is sick over finals week. Real cool immune system .... real cool
62,5,So it keeps rotating the picture when I save it so I'm trying to get it to stay straight. Lol
63,5,I really need a break from all the politics so here's a fun dance number from one of my favorite movies. I'd love to see your favorite dancer numbers from old movies.
64,5,This is really worth the read!
